"Date","Day Traded","$USD","SOXS","BIL","UVXY","SOXL","TQQQ"
"2023-12-04","Yes","-","-","-","-","-","100.0%"
"2023-12-01","Yes","-","-","-","-","-","100.0%"
"2023-11-30","Yes","-","-","-","-","-","100.0%"
"2023-11-29","Yes","-","-","-","-","-","100.0%"
"2023-11-28","Yes","-","-","-","-","-","100.0%"
"2023-11-27","Yes","-","-","-","-","-","100.0%"
"2023-11-24","Yes","-","-","-","-","-","100.0%"
"2023-11-22","Yes","-","-","-","-","-","100.0%"
"2023-11-21","Yes","-","-","-","-","-","100.0%"
"2023-11-20","Yes","-","-","-","-","-","100.0%"
"2023-11-17","Yes","-","-","-","-","-","100.0%"
"2023-11-16","Yes","-","-","-","-","-","100.0%"
"2023-11-15","Yes","-","-","-","-","-","100.0%"
"2023-11-14","Yes","-","-","-","-","-","100.0%"
"2023-11-13","Yes","-","-","-","-","-","100.0%"
"2023-11-10","Yes","-","-","-","-","-","100.0%"
"2023-11-09","Yes","-","-","-","-","-","100.0%"
"2023-11-08","Yes","-","-","-","-","-","100.0%"
"2023-11-07","Yes","-","-","-","-","-","100.0%"
"2023-11-06","Yes","-","-","-","-","-","100.0%"
"2023-11-03","Yes","-","-","-","-","-","100.0%"
"2023-11-02","Yes","-","-","-","-","-","100.0%"
"2023-11-01","Yes","-","-","100.0%","-","-","-"
"2023-10-31","Yes","-","-","100.0%","-","-","-"
"2023-10-30","Yes","-","-","100.0%","-","-","-"
"2023-10-27","Yes","-","-","-","-","100.0%","-"
"2023-10-26","Yes","-","-","-","-","100.0%","-"
"2023-10-25","Yes","-","-","100.0%","-","-","-"
"2023-10-24","Yes","-","-","100.0%","-","-","-"
"2023-10-23","Yes","-","-","100.0%","-","-","-"
"2023-10-20","Yes","-","-","100.0%","-","-","-"
"2023-10-19","Yes","-","-","100.0%","-","-","-"
"2023-10-18","Yes","-","-","100.0%","-","-","-"
"2023-10-17","Yes","-","-","100.0%","-","-","-"
"2023-10-16","Yes","-","-","100.0%","-","-","-"
"2023-10-13","Yes","-","-","100.0%","-","-","-"
"2023-10-12","Yes","-","-","100.0%","-","-","-"
"2023-10-11","Yes","-","-","100.0%","-","-","-"
"2023-10-10","Yes","-","-","100.0%","-","-","-"
"2023-10-09","Yes","-","-","100.0%","-","-","-"
"2023-10-06","Yes","-","-","100.0%","-","-","-"
"2023-10-05","Yes","-","-","100.0%","-","-","-"
"2023-10-04","Yes","-","-","100.0%","-","-","-"
"2023-10-03","Yes","-","-","100.0%","-","-","-"
"2023-10-02","Yes","-","-","100.0%","-","-","-"
"2023-09-29","Yes","-","-","100.0%","-","-","-"
